"date","year","month","day","8130002"
2008-08-01,"2008","08","01",40.09
2008-09-01,"2008","09","01",18.78
2008-10-01,"2008","10","01",10.763
2008-11-01,"2008","11","01",8.573
2008-12-01,"2008","12","01",5.243
2009-01-01,"2009","01","01",3.462
2009-02-01,"2009","02","01",2.147
2009-03-01,"2009","03","01",1.644
2009-04-01,"2009","04","01",1.992
2009-05-01,"2009","05","01",32.604
2009-06-01,"2009","06","01",26.968
2009-07-01,"2009","07","01",29.35
2009-08-01,"2009","08","01",30.262
2009-09-01,"2009","09","01",22.065
2009-10-01,"2009","10","01",18.262
2009-11-01,"2009","11","01",18.383
2009-12-01,"2009","12","01",9.215
2010-01-01,"2010","01","01",5.488
2010-02-01,"2010","02","01",3.867
2010-03-01,"2010","03","01",3.306
2010-04-01,"2010","04","01",2.685
2010-05-01,"2010","05","01",2.673
2010-06-01,"2010","06","01",14.749
2010-07-01,"2010","07","01",17.426
2010-08-01,"2010","08","01",19.014
2010-09-01,"2010","09","01",14.37
2010-10-01,"2010","10","01",16.339
2010-11-01,"2010","11","01",15.257
2010-12-01,"2010","12","01",9.255
2011-01-01,"2011","01","01",5.519
2011-02-01,"2011","02","01",4.054
2011-03-01,"2011","03","01",3.776
2011-04-01,"2011","04","01",8.303
2011-05-01,"2011","05","01",8.026
2011-06-01,"2011","06","01",21.942
2011-07-01,"2011","07","01",17.271
2011-08-01,"2011","08","01",34.103
2011-09-01,"2011","09","01",28.11
2011-10-01,"2011","10","01",22.074
2011-11-01,"2011","11","01",16.097
2011-12-01,"2011","12","01",9.674
2012-01-01,"2012","01","01",5.606
2012-02-01,"2012","02","01",6.112
2012-03-01,"2012","03","01",5.524
2012-04-01,"2012","04","01",3.692
2012-05-01,"2012","05","01",19.76
2012-06-01,"2012","06","01",38.117
2012-07-01,"2012","07","01",18.423
2012-08-01,"2012","08","01",10.765
2012-09-01,"2012","09","01",10.325
2012-10-01,"2012","10","01",7.939
2012-11-01,"2012","11","01",5.837
2012-12-01,"2012","12","01",18.709
2013-01-01,"2013","01","01",6.755
2013-02-01,"2013","02","01",3.741
2013-03-01,"2013","03","01",2.696
2013-04-01,"2013","04","01",2.289
2013-05-01,"2013","05","01",7.585
2013-06-01,"2013","06","01",22.671
2013-07-01,"2013","07","01",29.506
2013-08-01,"2013","08","01",21.481
2013-09-01,"2013","09","01",28.503
2013-10-01,"2013","10","01",14.455
2013-11-01,"2013","11","01",9.45
2013-12-01,"2013","12","01",6.002
2014-01-01,"2014","01","01",3.645
2014-02-01,"2014","02","01",2.781
2014-03-01,"2014","03","01",2.595
2014-04-01,"2014","04","01",2.675
2014-05-01,"2014","05","01",11.858
2014-06-01,"2014","06","01",30.107
2014-07-01,"2014","07","01",33.797
2014-08-01,"2014","08","01",39.5
2014-09-01,"2014","09","01",26.233
2014-10-01,"2014","10","01",15.242
2014-11-01,"2014","11","01",NA
2014-12-01,"2014","12","01",NA
2015-01-01,"2015","01","01",3.028
2015-02-01,"2015","02","01",2.067
2015-03-01,"2015","03","01",1.548
2015-04-01,"2015","04","01",1.369
2015-05-01,"2015","05","01",1.75
2015-06-01,"2015","06","01",22.742
2015-07-01,"2015","07","01",NA
2015-08-01,"2015","08","01",NA
2015-09-01,"2015","09","01",NA
2015-10-01,"2015","10","01",NA
2015-11-01,"2015","11","01",NA
2015-12-01,"2015","12","01",NA
2016-01-01,"2016","01","01",4.154
2016-02-01,"2016","02","01",2.723
2016-03-01,"2016","03","01",1.893
2016-04-01,"2016","04","01",3.923
2016-05-01,"2016","05","01",NA
2016-06-01,"2016","06","01",5.43
2016-07-01,"2016","07","01",6.609
2016-08-01,"2016","08","01",26.053
2016-09-01,"2016","09","01",10.52
2016-10-01,"2016","10","01",13.881
2016-11-01,"2016","11","01",5.777
2016-12-01,"2016","12","01",3.766
2017-01-01,"2017","01","01",2.337
2017-02-01,"2017","02","01",1.5
2017-03-01,"2017","03","01",1.484
2017-04-01,"2017","04","01",1.901
2017-05-01,"2017","05","01",8.44
2017-06-01,"2017","06","01",25.359
2017-07-01,"2017","07","01",16.274
2017-08-01,"2017","08","01",16.33
2017-09-01,"2017","09","01",19.18
2017-10-01,"2017","10","01",29.694
2017-11-01,"2017","11","01",19.303
2017-12-01,"2017","12","01",6.305
2018-01-01,"2018","01","01",3.338
2018-02-01,"2018","02","01",2.456
2018-03-01,"2018","03","01",2.46
2018-04-01,"2018","04","01",5.388
2018-05-01,"2018","05","01",8.582
2018-06-01,"2018","06","01",23.314
2018-07-01,"2018","07","01",15.266
2018-08-01,"2018","08","01",10.118
2018-09-01,"2018","09","01",21.171
2018-10-01,"2018","10","01",20.768
2018-11-01,"2018","11","01",17.573
2018-12-01,"2018","12","01",8.072
2019-01-01,"2019","01","01",5.359
2019-02-01,"2019","02","01",3.134
2019-03-01,"2019","03","01",2.31
2019-04-01,"2019","04","01",1.939
2019-05-01,"2019","05","01",5.796
2019-06-01,"2019","06","01",24.6
2019-07-01,"2019","07","01",19.507
2019-08-01,"2019","08","01",NA
2019-09-01,"2019","09","01",NA
2019-10-01,"2019","10","01",NA
2019-11-01,"2019","11","01",NA
2019-12-01,"2019","12","01",NA
2020-01-01,"2020","01","01",NA
2020-02-01,"2020","02","01",NA
2020-03-01,"2020","03","01",NA
2020-04-01,"2020","04","01",NA
